74,77,71,71,77,71,69,76,67,1.0
72,81,62,68,86,67,63,66,63,3.0
72,66,40,78,88,84,75,75,77,4.4
63,65,59,64,72,64,68,73,65,0.3333333333333333
78,72,70,85,87,85,80,82,83,4.0
68,69,64,67,66,66,70,82,70,7.0
73,78,65,71,74,69,74,76,84,2.0
80,82,80,70,69,72,71,77,71,2.857142857142857
69,77,60,67,73,66,60,64,59,2.0
82,72,69,67,72,74,67,72,64,2.0
65,62,62,61,66,57,76,79,78,3.0
78,72,70,80,82,83,85,87,85,2.8333333333333335
76,80,65,79,77,69,74,77,75,6.0
77,76,67,78,75,73,73,77,65,2.5
65,72,50,74,79,67,78,85,77,1.0
71,74,69,74,76,84,77,85,76,2.0
75,81,73,75,75,77,71,71,73,2.3333333333333335
75,72,70,64,72,64,59,67,60,0.0
72,84,49,66,77,63,71,82,72,3.0
74,72,60,79,83,77,80,82,85,3.3333333333333335
66,67,64,72,74,73,72,82,70,3.5
87,73,71,71,80,71,78,88,84,1.75
68,69,64,70,82,70,67,66,66,2.8
74,78,72,76,53,53,83,83,85,3.0
68,71,66,68,74,70,73,80,76,2.6666666666666665
69,77,60,69,78,66,69,80,72,2.0
68,86,67,67,68,67,64,71,62,3.3333333333333335
65,62,62,73,85,73,76,79,78,4.0
78,76,83,77,81,77,72,72,65,4.222222222222222
73,71,63,71,80,71,78,88,84,7.0
75,63,32,75,75,77,64,67,65,2.0
72,84,49,71,82,72,69,77,70,2.0
68,73,61,76,53,53,73,81,73,2.0
77,85,72,72,72,65,77,81,77,4.5
93,94,95,80,82,83,85,88,88,5.75
74,72,60,81,90,76,79,83,77,5.666666666666667
80,87,68,66,77,63,74,77,75,5.0
74,79,67,74,74,74,71,79,72,2.6666666666666665
71,74,69,77,85,76,69,71,70,10.0
71,75,58,71,77,71,70,69,72,5.0
69,77,60,60,64,59,69,80,72,1.0
70,72,64,64,73,54,61,64,61,4.0
75,72,70,60,67,63,68,73,65,2.1666666666666665
87,73,71,71,80,71,80,82,85,2.5
